Time, Giant, Skeleton, Eyeball, Wizard, Total,
0.02, 0, 0, 0, 0, 0,
15.00598, 2, 0, 0, 0, 2,
30.0039, 5, 0, 0, 0, 5,
45.01036, 6, 0, 0, 0, 6,
60.01169, 6, 0, 3, 0, 9,
75.0134, 13, 0, 4, 0, 17,
90.00164, 13, 0, 4, 0, 17,
105.0103, 20, 0, 5, 0, 25,
120.0053, 20, 0, 7, 0, 27,
135.006, 20, 0, 7, 0, 27,
150.0079, 20, 1, 9, 0, 30,
165.0048, 20, 4, 14, 0, 38,
180.0083, 20, 7, 16, 0, 43,
195.0095, 20, 7, 16, 0, 43,
210.0008, 20, 7, 16, 2, 45,
225.0008, 20, 7, 16, 5, 48,
240.0005, 20, 7, 16, 8, 51,
255.0033, 20, 7, 16, 10, 53,
270.0054, 20, 7, 16, 11, 54,
285.0067, 20, 7, 16, 11, 54,
300.0071, 20, 7, 16, 11, 54,
315.0066, 20, 7, 17, 11, 55,
330.0068, 20, 12, 17, 15, 64,
345.0089, 21, 16, 24, 19, 80,
360.0041, 24, 18, 29, 23, 94,
375.0027, 24, 18, 31, 25, 98,
390.0035, 24, 20, 31, 25, 100,
416.4358, 26, 21, 31, 25, 103,
